Lon,Lat,site
15.55,46.7833, Austria_Leibnitz
28.0333,43.7167, Bulgaria_General_Toshevo
26.8333,43.9, Bulgaria_Glavinitsa
7.6167,48.5667, France_Achenheim
4.8,43.94, France_Avignon
-0.7167,47.2, France_Chemille
3.08,45.77, France_Clermont_Ferrand
3,49.88, France_Estrees_Mons
0.15,44.5, France_Marmande
5.0333,44.95, France_Montelier
-0.7667,43.4833, France_Orthez
5.07,47.26, France_Ouges
1.0667,43.2, France_Palaminy
-0.05,46.3833, France_Pamproux
1.7,48.05, France_Patay
0.1,45.4833, France_Saint_Bonnet
1.4333,43.6, France_Toulouse
-1.2167,48.1167, France_Vitre
10.9,48.3667, Germany_Augsburg
9.7333,52.3667, Germany_Hanover
7.9333,51.5667, Germany_Werl
22.5667,41.2, Greece_Evropos
20.4833,46.3167, Hungary_Foldeak
20.8,46.7667, Hungary_Kondoros
16.6,47.0167, Hungary_Kormend
18.3333,46.85, Hungary_Lajoskomarom
22.1333,47.8333, Hungary_Nyirbator
20.5833,47.1833, Hungary_Ormenyes
17.4667,47.3167, Hungary_Papa
18.4667,46, Hungary_Szederkeny
10.4167,45.2167, Italy_Asola
11.35,44.5, Italy_Bologna
13.1667,46.0167, Italy_Campoformido
11.4667,45.35, Italy_Orgiano
12.15,45.6667, Italy_Paese
9.35,45.4333, Italy_Pantigliate
7.7667,44.95, Italy_Santena
16.65,50.8, Poland_Tuszyn
17.5667,52.3167, Poland_Wrzesnia
25.35,43.9833, Romania_Alexandria
21.3167,46.1667, Romania_Arad
23.6333,43.9667, Romania_Barca
27.6667,46.2333, Romania_Barlad
26.6667,47.75, Romania_Botosani
25.8,44.2833, Romania_Bulbacata
28.2333,43.9, Romania_Chirnogeni
23.6667,46.0167, Romania_Daia_Romana
26.5667,46.9167, Romania_Dochia
26.9167,44.4333, Romania_Dor_Marunt
21.4333,45.4333, Romania_Gataia
20.7667,45.9667, Romania_Lovrin
28.2667,44.25, Romania_Medgidia
24.2333,44.2833, Romania_Parscoveni
26.0833,44.8167, Romania_Puchenii_Mari
22.0333,47.2167, Romania_Salard
27.7,45, Romania_Viziru
-0.4167,41.9833, Spain_Barbues
-5,41.05, Spain_Gomecello
-5,42, Spain_Villamanan
